BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Broker B,Single Family,441705,5,1,1096,18 Main St,WA,18 Main St,County C,City A,District B,Pine Blvd,Property 18,"18 Main St, City A, CA",37.77618442552681,-121.53438467545274
Broker B,Condo,895378,2,3,984,19 Main St,FL,19 Main St,County B,City B,District A,Oak Ave,Property 19,"19 Main St, City A, CA",37.89505925873562,-122.19787284809763
Broker B,Townhouse,325314,4,2,1145,20 Main St,FL,20 Main St,County A,City C,District B,Pine Blvd,Property 20,"20 Main St, City A, CA",38.30945454475604,-121.95585216074107
Broker A,Townhouse,538716,4,3,3589,21 Main St,NY,21 Main St,County B,City C,District C,Main St,Property 21,"21 Main St, City A, CA",38.45002988584442,-121.94907595206278
Broker A,Condo,859900,2,4,4884,22 Main St,TX,22 Main St,County C,City A,District B,Pine Blvd,Property 22,"22 Main St, City A, CA",38.192348283896465,-121.54582469424027
Broker B,Townhouse,902741,2,1,1220,23 Main St,WA,23 Main St,County A,City A,District B,Main St,Property 23,"23 Main St, City A, CA",38.50557901152839,-121.65660094712419
Broker B,Single Family,679518,3,2,998,24 Main St,TX,24 Main St,County A,City C,District C,Main St,Property 24,"24 Main St, City A, CA",38.29676229533218,-121.90632278163194
Broker A,Single Family,998254,4,4,2173,25 Main St,TX,25 Main St,County A,City C,District A,Main St,Property 25,"25 Main St, City A, CA",37.849076195594314,-121.74865279952822
Broker A,Condo,591872,4,4,3567,26 Main St,WA,26 Main St,County C,City C,District A,Main St,Property 26,"26 Main St, City A, CA",37.96691625096795,-121.57204494609063
Broker A,Condo,616998,3,4,614,27 Main St,FL,27 Main St,County C,City A,District B,Main St,Property 27,"27 Main St, City A, CA",38.61489822324395,-122.40986104597445
Broker C,Condo,619984,1,3,3479,28 Main St,WA,28 Main St,County C,City C,District C,Oak Ave,Property 28,"28 Main St, City A, CA",38.49981274662444,-122.01650996894995
Broker C,Townhouse,565757,3,1,2236,29 Main St,TX,29 Main St,County A,City C,District B,Oak Ave,Property 29,"29 Main St, City A, CA",38.669661987012496,-121.51215683272292
Broker C,Single Family,474484,5,4,4111,30 Main St,FL,30 Main St,County C,City A,District B,Oak Ave,Property 30,"30 Main St, City A, CA",37.89245724912094,-121.67908696915605
Broker B,Single Family,608062,4,1,2753,31 Main St,CA,31 Main St,County B,City B,District B,Main St,Property 31,"31 Main St, City A, CA",38.765122534615074,-121.87655862566592
Broker C,Townhouse,683609,2,3,2794,32 Main St,WA,32 Main St,County C,City B,District C,Pine Blvd,Property 32,"32 Main St, City A, CA",37.984306713949934,-121.88975547296486
Broker B,Single Family,232028,5,4,4130,33 Main St,WA,33 Main St,County A,City C,District C,Oak Ave,Property 33,"33 Main St, City A, CA",37.78667987628664,-122.07162990239556
Broker B,Condo,331447,4,3,646,34 Main St,FL,34 Main St,County B,City B,District A,Pine Blvd,Property 34,"34 Main St, City A, CA",38.77232293905356,-121.89887946635848
Broker C,Condo,960563,3,3,4482,35 Main St,CA,35 Main St,County C,City B,District C,Pine Blvd,Property 35,"35 Main St, City A, CA",38.05597388544511,-121.76401680053654
Broker B,Condo,541124,5,1,3953,36 Main St,CA,36 Main St,County B,City B,District B,Main St,Property 36,"36 Main St, City A, CA",38.44291945251256,-122.0010369615712
Broker C,Single Family,912395,4,4,2910,37 Main St,FL,37 Main St,County B,City B,District B,Main St,Property 37,"37 Main St, City A, CA",37.95158231417631,-121.70524685360782
Broker C,Condo,726045,1,3,636,38 Main St,NY,38 Main St,County A,City C,District A,Main St,Property 38,"38 Main St, City A, CA",38.355128532199146,-121.55816777273961
Broker A,Townhouse,532659,1,4,3860,39 Main St,WA,39 Main St,County B,City B,District C,Oak Ave,Property 39,"39 Main St, City A, CA",38.678934986454564,-122.26471515181514
Broker C,Townhouse,985691,2,1,3505,40 Main St,WA,40 Main St,County B,City B,District B,Main St,Property 40,"40 Main St, City A, CA",38.09508116742844,-121.96785297718257
Broker A,Single Family,401207,4,3,4052,41 Main St,TX,41 Main St,County A,City A,District A,Oak Ave,Property 41,"41 Main St, City A, CA",38.44515397604436,-122.01137990871491
Broker C,Townhouse,476369,1,1,518,42 Main St,FL,42 Main St,County A,City C,District A,Oak Ave,Property 42,"42 Main St, City A, CA",37.962803588798415,-121.73193519595027
Broker C,Townhouse,478544,3,4,2742,43 Main St,TX,43 Main St,County A,City A,District B,Oak Ave,Property 43,"43 Main St, City A, CA",38.39969539871873,-122.16953253474206
Broker A,Single Family,442962,4,4,948,44 Main St,TX,44 Main St,County B,City A,District B,Oak Ave,Property 44,"44 Main St, City A, CA",38.111350351817514,-121.77914908504772
Broker A,Condo,366847,3,1,2448,45 Main St,CA,45 Main St,County B,City C,District C,Main St,Property 45,"45 Main St, City A, CA",37.986108258587954,-121.54191075826851
Broker C,Condo,820488,3,2,1445,46 Main St,WA,46 Main St,County B,City B,District A,Oak Ave,Property 46,"46 Main St, City A, CA",38.08808205070364,-122.00126840020637
Broker B,Condo,696387,1,3,4736,47 Main St,TX,47 Main St,County A,City A,District B,Main St,Property 47,"47 Main St, City A, CA",37.9537410685078,-121.50838430002078
Broker A,Single Family,519065,4,4,2420,48 Main St,CA,48 Main St,County C,City C,District A,Main St,Property 48,"48 Main St, City A, CA",38.67681610783789,-121.42623626106652
Broker B,Townhouse,787220,5,4,3477,49 Main St,FL,49 Main St,County B,City B,District C,Oak Ave,Property 49,"49 Main St, City A, CA",38.17208688631713,-122.31330795005205
Broker B,Condo,131585,1,3,4688,50 Main St,TX,50 Main St,County C,City C,District B,Main St,Property 50,"50 Main St, City A, CA",38.02017930497437,-122.18634681201513
Broker B,Condo,515231,1,1,4515,51 Main St,WA,51 Main St,County A,City A,District C,Pine Blvd,Property 51,"51 Main St, City A, CA",38.22330784101594,-121.46902024851791
Broker A,Single Family,667873,4,1,738,52 Main St,TX,52 Main St,County B,City B,District A,Main St,Property 52,"52 Main St, City A, CA",38.0954361668065,-121.46107231351861
Broker B,Condo,389102,4,1,704,53 Main St,FL,53 Main St,County C,City B,District C,Main St,Property 53,"53 Main St, City A, CA",38.51931925381333,-122.32169272461324
Broker A,Single Family,388161,3,2,3107,54 Main St,TX,54 Main St,County B,City C,District C,Oak Ave,Property 54,"54 Main St, City A, CA",38.74611991188549,-122.40440149962286
Broker B,Townhouse,486821,4,2,4840,55 Main St,WA,55 Main St,County B,City B,District A,Oak Ave,Property 55,"55 Main St, City A, CA",38.21293365669765,-122.25829997674357
Broker C,Single Family,915858,3,4,3888,56 Main St,CA,56 Main St,County B,City A,District C,Main St,Property 56,"56 Main St, City A, CA",38.635933399972245,-121.42338721661775
Broker C,Single Family,379922,1,1,3472,57 Main St,WA,57 Main St,County C,City A,District A,Oak Ave,Property 57,"57 Main St, City A, CA",38.34076307355962,-122.23940038338931
Broker A,Single Family,800601,2,3,4890,58 Main St,CA,58 Main St,County A,City A,District B,Pine Blvd,Property 58,"58 Main St, City A, CA",37.932135665094236,-121.91685239327798
Broker C,Single Family,142229,5,4,3187,59 Main St,NY,59 Main St,County B,City C,District A,Pine Blvd,Property 59,"59 Main St, City A, CA",38.46552274208135,-121.57098227356948
Broker C,Townhouse,186652,1,3,4666,60 Main St,WA,60 Main St,County A,City B,District A,Oak Ave,Property 60,"60 Main St, City A, CA",38.288334497125824,-122.39899838931179
Broker B,Townhouse,349474,4,4,1848,61 Main St,WA,61 Main St,County A,City B,District B,Main St,Property 61,"61 Main St, City A, CA",38.4255065232521,-121.81491101774154
Broker A,Condo,803724,5,2,4900,62 Main St,FL,62 Main St,County C,City B,District A,Pine Blvd,Property 62,"62 Main St, City A, CA",38.66458741257167,-122.14237455113037
Broker B,Townhouse,360116,2,4,1316,63 Main St,TX,63 Main St,County C,City A,District B,Pine Blvd,Property 63,"63 Main St, City A, CA",38.21533457065605,-121.55706508356026
Broker B,Townhouse,971310,2,2,1320,64 Main St,CA,64 Main St,County A,City B,District B,Main St,Property 64,"64 Main St, City A, CA",38.67607762321736,-122.13593885073591
Broker B,Condo,943488,3,4,692,65 Main St,CA,65 Main St,County B,City A,District A,Oak Ave,Property 65,"65 Main St, City A, CA",38.52556901428166,-121.73264427971809
Broker B,Townhouse,620985,5,1,2276,66 Main St,FL,66 Main St,County C,City B,District C,Pine Blvd,Property 66,"66 Main St, City A, CA",38.26350492587799,-121.74518036755259
Broker B,Single Family,119975,3,3,4145,67 Main St,FL,67 Main St,County B,City A,District C,Main St,Property 67,"67 Main St, City A, CA",38.37812213565797,-122.19790645114035
Broker B,Single Family,257795,1,1,750,68 Main St,TX,68 Main St,County B,City B,District B,Main St,Property 68,"68 Main St, City A, CA",38.100481132519015,-122.38460080013165
Broker B,Condo,516495,5,4,2288,69 Main St,TX,69 Main St,County B,City C,District C,Pine Blvd,Property 69,"69 Main St, City A, CA",38.75849729973878,-122.0101504262146
Broker A,Condo,309373,1,4,4200,70 Main St,WA,70 Main St,County A,City C,District C,Oak Ave,Property 70,"70 Main St, City A, CA",38.4422511630504,-122.13020684803412
Broker C,Condo,297133,3,4,2963,71 Main St,NY,71 Main St,County B,City A,District A,Pine Blvd,Property 71,"71 Main St, City A, CA",37.81874685249663,-121.61042225038629
Broker B,Single Family,974829,5,2,1667,72 Main St,TX,72 Main St,County A,City A,District B,Main St,Property 72,"72 Main St, City A, CA",38.10152190574801,-121.61903581154465
Broker B,Townhouse,804513,3,3,4393,73 Main St,FL,73 Main St,County A,City B,District B,Pine Blvd,Property 73,"73 Main St, City A, CA",38.39821443375906,-121.96237604780737
Broker B,Single Family,395286,5,3,1596,74 Main St,TX,74 Main St,County B,City B,District A,Oak Ave,Property 74,"74 Main St, City A, CA",37.83123327779924,-121.81288777467678
Broker B,Condo,913348,3,4,3179,75 Main St,CA,75 Main St,County B,City C,District C,Main St,Property 75,"75 Main St, City A, CA",37.79878419131914,-121.81514048401307
Broker B,Townhouse,688612,2,4,2347,76 Main St,NY,76 Main St,County B,City B,District B,Oak Ave,Property 76,"76 Main St, City A, CA",38.2249242395278,-121.59224185157237
Broker B,Townhouse,276037,3,2,4404,77 Main St,WA,77 Main St,County B,City A,District C,Pine Blvd,Property 77,"77 Main St, City A, CA",38.10759017969267,-121.9943975858768
Broker C,Single Family,488076,2,1,1004,78 Main St,CA,78 Main St,County A,City A,District B,Pine Blvd,Property 78,"78 Main St, City A, CA",38.21319860803317,-122.14395332020949
Broker C,Condo,760008,3,1,2121,79 Main St,CA,79 Main St,County B,City A,District B,Oak Ave,Property 79,"79 Main St, City A, CA",38.03759330988001,-122.15436508185945
Broker B,Single Family,790493,5,3,2972,80 Main St,NY,80 Main St,County B,City A,District B,Pine Blvd,Property 80,"80 Main St, City A, CA",37.939617746942986,-121.88320772071779
Broker C,Townhouse,720347,5,2,3046,81 Main St,WA,81 Main St,County A,City A,District B,Oak Ave,Property 81,"81 Main St, City A, CA",38.46404335698034,-121.97025179726778
Broker A,Single Family,722605,5,4,1887,82 Main St,FL,82 Main St,County C,City C,District C,Pine Blvd,Property 82,"82 Main St, City A, CA",38.289471116267805,-121.97927922901506
Broker B,Single Family,825495,4,3,3494,83 Main St,WA,83 Main St,County C,City C,District C,Oak Ave,Property 83,"83 Main St, City A, CA",37.97505421124937,-122.32826266091028
Broker A,Condo,397190,1,2,4316,84 Main St,TX,84 Main St,County A,City A,District C,Oak Ave,Property 84,"84 Main St, City A, CA",38.09448942626,-121.7007962593098
Broker A,Condo,540280,5,1,1217,85 Main St,CA,85 Main St,County C,City B,District C,Main St,Property 85,"85 Main St, City A, CA",38.366707907663326,-122.20566331201809
Broker B,Townhouse,201459,2,2,3984,86 Main St,TX,86 Main St,County A,City A,District A,Main St,Property 86,"86 Main St, City A, CA",37.84712934827248,-122.22244636979127
Broker C,Single Family,861985,5,1,4934,87 Main St,FL,87 Main St,County B,City C,District B,Oak Ave,Property 87,"87 Main St, City A, CA",37.92235300926618,-122.0066416797226
Broker A,Single Family,300422,4,2,1158,88 Main St,TX,88 Main St,County B,City A,District B,Pine Blvd,Property 88,"88 Main St, City A, CA",37.848145604107394,-122.19162165838219
Broker B,Single Family,932325,2,3,4508,89 Main St,WA,89 Main St,County C,City C,District B,Pine Blvd,Property 89,"89 Main St, City A, CA",38.58721733271412,-121.83554173269198
Broker A,Townhouse,201520,4,1,4734,90 Main St,TX,90 Main St,County B,City C,District A,Pine Blvd,Property 90,"90 Main St, City A, CA",38.52730923321201,-122.04793666066553
Broker A,Townhouse,685560,2,3,4264,91 Main St,FL,91 Main St,County C,City A,District C,Oak Ave,Property 91,"91 Main St, City A, CA",38.52821293187926,-121.9704882774072
Broker A,Condo,847512,3,3,3489,92 Main St,FL,92 Main St,County C,City A,District B,Oak Ave,Property 92,"92 Main St, City A, CA",38.49122534347603,-121.88223067839597
Broker A,Condo,616123,1,1,2604,93 Main St,FL,93 Main St,County B,City B,District C,Oak Ave,Property 93,"93 Main St, City A, CA",38.444285423669875,-122.2158644775182
Broker C,Condo,429793,1,1,1755,94 Main St,WA,94 Main St,County B,City C,District C,Oak Ave,Property 94,"94 Main St, City A, CA",38.25189191537818,-122.26364837713447
Broker A,Single Family,426818,4,4,2982,95 Main St,FL,95 Main St,County C,City B,District A,Main St,Property 95,"95 Main St, City A, CA",38.41717816350712,-121.53897809712639
Broker A,Single Family,244832,1,4,883,96 Main St,CA,96 Main St,County B,City A,District A,Oak Ave,Property 96,"96 Main St, City A, CA",37.81326155478798,-121.98567629716858
Broker A,Condo,252999,4,4,3107,97 Main St,FL,97 Main St,County A,City C,District C,Pine Blvd,Property 97,"97 Main St, City A, CA",38.39636442265679,-122.00730639036746
Broker C,Single Family,448619,4,3,693,98 Main St,TX,98 Main St,County B,City B,District B,Main St,Property 98,"98 Main St, City A, CA",38.55277770553688,-122.38378784972716
Broker A,Condo,161367,4,3,4307,99 Main St,TX,99 Main St,County B,City B,District B,Pine Blvd,Property 99,"99 Main St, City A, CA",38.27525836038439,-121.9214236974126
Broker A,Townhouse,853315,1,4,4219,100 Main St,TX,100 Main St,County A,City B,District A,Oak Ave,Property 100,"100 Main St, City A, CA",38.13241332842724,-121.86523027838899
Broker C,Condo,505804,4,3,3081,101 Main St,WA,101 Main St,County B,City A,District A,Main St,Property 101,"101 Main St, City A, CA",38.05232673480098,-121.86055912904533
Broker C,Townhouse,857038,1,3,3065,102 Main St,TX,102 Main St,County B,City A,District A,Oak Ave,Property 102,"102 Main St, City A, CA",38.417702050162085,-121.71236883067711
Broker C,Single Family,335806,4,1,3263,103 Main St,WA,103 Main St,County C,City A,District A,Main St,Property 103,"103 Main St, City A, CA",38.46770119862991,-122.24191816500898
Broker A,Condo,807593,5,1,3298,104 Main St,WA,104 Main St,County B,City C,District A,Pine Blvd,Property 104,"104 Main St, City A, CA",38.64586759986255,-122.16717686576938
Broker C,Single Family,144738,4,3,2839,105 Main St,FL,105 Main St,County B,City A,District A,Oak Ave,Property 105,"105 Main St, City A, CA",38.117234082460996,-121.60866953476959
Broker C,Townhouse,657685,2,4,3906,106 Main St,CA,106 Main St,County A,City C,District A,Oak Ave,Property 106,"106 Main St, City A, CA",38.54467230738559,-121.4722293831566
Broker A,Townhouse,444333,4,2,1231,107 Main St,FL,107 Main St,County C,City B,District B,Main St,Property 107,"107 Main St, City A, CA",38.33625582418934,-122.28346725263268
Broker C,Townhouse,438511,3,4,3372,108 Main St,FL,108 Main St,County C,City B,District A,Main St,Property 108,"108 Main St, City A, CA",38.65773649067808,-121.92175044549478
Broker A,Single Family,302332,4,2,3620,109 Main St,WA,109 Main St,County C,City A,District A,Oak Ave,Property 109,"109 Main St, City A, CA",38.30271210829562,-122.2052237472604
Broker B,Single Family,482729,2,4,4677,110 Main St,WA,110 Main St,County B,City B,District B,Main St,Property 110,"110 Main St, City A, CA",38.29252982839797,-122.359326831645
Broker C,Single Family,963051,2,1,3104,111 Main St,TX,111 Main St,County C,City A,District B,Oak Ave,Property 111,"111 Main St, City A, CA",38.35277708144091,-122.09389666187386
Broker B,Single Family,211453,1,3,2882,112 Main St,TX,112 Main St,County A,City C,District C,Main St,Property 112,"112 Main St, City A, CA",38.52421535514244,-122.27571237481578
Broker A,Townhouse,119816,5,3,1031,113 Main St,FL,113 Main St,County C,City B,District A,Pine Blvd,Property 113,"113 Main St, City A, CA",38.73959047882846,-121.70946692656575
Broker C,Townhouse,869299,4,1,4816,114 Main St,NY,114 Main St,County A,City A,District A,Main St,Property 114,"114 Main St, City A, CA",37.84846335421577,-121.88567458632855
Broker A,Condo,965962,1,2,1134,115 Main St,NY,115 Main St,County C,City B,District A,Pine Blvd,Property 115,"115 Main St, City A, CA",37.82833460239102,-122.27556552900968
Broker B,Condo,516715,5,2,2269,116 Main St,TX,116 Main St,County C,City B,District A,Main St,Property 116,"116 Main St, City A, CA",38.71245033740734,-122.41015841159448
Broker A,Single Family,471000,4,2,4304,117 Main St,NY,117 Main St,County A,City A,District C,Main St,Property 117,"117 Main St, City A, CA",38.30477562551821,-121.61124295097578
Broker C,Townhouse,313567,3,1,2870,118 Main St,TX,118 Main St,County C,City B,District B,Oak Ave,Property 118,"118 Main St, City A, CA",38.38980301456694,-122.24320559383575
Broker C,Townhouse,614933,4,2,502,119 Main St,WA,119 Main St,County C,City B,District B,Main St,Property 119,"119 Main St, City A, CA",38.257323601594734,-121.81318335777922
Broker B,Townhouse,695923,2,1,705,120 Main St,FL,120 Main St,County C,City B,District A,Main St,Property 120,"120 Main St, City A, CA",37.868557452607476,-122.08247808692325
Broker A,Condo,994235,2,4,4635,121 Main St,CA,121 Main St,County B,City B,District A,Pine Blvd,Property 121,"121 Main St, City A, CA",38.54298937841867,-121.83391406168496
Broker C,Condo,316184,3,4,3121,122 Main St,FL,122 Main St,County A,City C,District A,Main St,Property 122,"122 Main St, City A, CA",38.52212464508859,-122.10374637301767
Broker B,Townhouse,398090,1,1,3390,123 Main St,TX,123 Main St,County C,City B,District C,Oak Ave,Property 123,"123 Main St, City A, CA",38.08660332149282,-122.33246043930774
Broker C,Townhouse,417348,5,3,3693,124 Main St,TX,124 Main St,County A,City B,District C,Pine Blvd,Property 124,"124 Main St, City A, CA",38.0811392452284,-122.19644999144224
Broker C,Townhouse,282958,4,4,3166,125 Main St,FL,125 Main St,County A,City A,District B,Oak Ave,Property 125,"125 Main St, City A, CA",38.61274138090552,-122.23134143352092
Broker A,Condo,377707,2,2,3806,126 Main St,TX,126 Main St,County A,City C,District A,Oak Ave,Property 126,"126 Main St, City A, CA",37.847257257741326,-121.99138064756035
Broker C,Townhouse,192324,1,1,1397,127 Main St,NY,127 Main St,County C,City A,District A,Oak Ave,Property 127,"127 Main St, City A, CA",38.65600514835657,-121.76111621657384
Broker A,Townhouse,323536,3,2,1585,128 Main St,NY,128 Main St,County C,City A,District A,Oak Ave,Property 128,"128 Main St, City A, CA",38.031561689895916,-122.15559392505364
Broker C,Single Family,857232,2,2,1779,129 Main St,TX,129 Main St,County A,City A,District A,Pine Blvd,Property 129,"129 Main St, City A, CA",38.3678847477555,-122.40733006469938
Broker B,Single Family,371991,3,3,1170,130 Main St,TX,130 Main St,County B,City C,District C,Main St,Property 130,"130 Main St, City A, CA",38.71089417900178,-121.90046263573524
Broker C,Condo,126155,4,2,2005,131 Main St,NY,131 Main St,County A,City A,District B,Oak Ave,Property 131,"131 Main St, City A, CA",38.45302250153665,-121.81364051064102
Broker A,Townhouse,441815,5,3,4075,132 Main St,TX,132 Main St,County B,City A,District B,Pine Blvd,Property 132,"132 Main St, City A, CA",38.18932981246704,-121.45652950599819
Broker A,Townhouse,741179,2,4,2455,133 Main St,TX,133 Main St,County A,City A,District C,Oak Ave,Property 133,"133 Main St, City A, CA",38.464434208905416,-121.82992919690675
Broker B,Single Family,969742,2,1,749,134 Main St,FL,134 Main St,County A,City B,District A,Main St,Property 134,"134 Main St, City A, CA",38.11887963631637,-121.94822744062185
Broker C,Condo,560494,4,2,2392,135 Main St,CA,135 Main St,County A,City A,District B,Pine Blvd,Property 135,"135 Main St, City A, CA",38.05215841634919,-121.8459983741023
Broker C,Single Family,249381,1,1,3939,136 Main St,NY,136 Main St,County C,City C,District B,Pine Blvd,Property 136,"136 Main St, City A, CA",38.77158327793468,-121.49149937013797
Broker B,Single Family,231691,5,2,2353,137 Main St,FL,137 Main St,County B,City C,District C,Main St,Property 137,"137 Main St, City A, CA",38.52569023117979,-121.59102185439835
Broker C,Single Family,576410,2,1,3354,138 Main St,CA,138 Main St,County B,City B,District A,Pine Blvd,Property 138,"138 Main St, City A, CA",38.41961997738182,-122.09642126663618
Broker C,Single Family,543324,5,2,2003,139 Main St,TX,139 Main St,County A,City C,District B,Main St,Property 139,"139 Main St, City A, CA",38.130189643219325,-122.18214563634285
Broker A,Townhouse,134707,2,2,3885,140 Main St,TX,140 Main St,County C,City C,District A,Pine Blvd,Property 140,"140 Main St, City A, CA",37.82406082915505,-122.15676638763392
Broker C,Townhouse,618477,5,2,4071,141 Main St,FL,141 Main St,County C,City B,District B,Pine Blvd,Property 141,"141 Main St, City A, CA",37.80595687603516,-121.91497896028478
Broker C,Single Family,967969,3,2,4292,142 Main St,TX,142 Main St,County B,City A,District C,Main St,Property 142,"142 Main St, City A, CA",38.3290812554488,-121.67535054877142
Broker B,Condo,821864,2,2,3926,143 Main St,WA,143 Main St,County C,City B,District A,Main St,Property 143,"143 Main St, City A, CA",38.53693272103905,-121.91618079281703
Broker B,Condo,802974,5,2,543,144 Main St,FL,144 Main St,County B,City A,District C,Pine Blvd,Property 144,"144 Main St, City A, CA",38.31227919044386,-122.35160360417188
Broker A,Condo,846788,1,2,4112,145 Main St,CA,145 Main St,County B,City A,District B,Pine Blvd,Property 145,"145 Main St, City A, CA",38.61568507193912,-121.69581929956001
Broker C,Condo,453299,3,2,3118,146 Main St,FL,146 Main St,County B,City C,District C,Main St,Property 146,"146 Main St, City A, CA",37.80832653309322,-121.61342987132905
Broker C,Single Family,886713,3,2,3663,147 Main St,NY,147 Main St,County C,City B,District C,Main St,Property 147,"147 Main St, City A, CA",38.14165207642594,-122.12990213488028
Broker C,Townhouse,258492,1,1,1788,148 Main St,FL,148 Main St,County B,City C,District C,Pine Blvd,Property 148,"148 Main St, City A, CA",38.01197039117418,-121.75527426071665
Broker A,Condo,574112,5,3,3442,149 Main St,TX,149 Main St,County B,City C,District B,Pine Blvd,Property 149,"149 Main St, City A, CA",38.222172968157125,-121.9928080989456
Broker A,Single Family,270102,4,2,719,150 Main St,TX,150 Main St,County A,City A,District A,Pine Blvd,Property 150,"150 Main St, City A, CA",37.84727639319412,-121.53028064427255
Broker B,Condo,494274,1,3,2425,151 Main St,WA,151 Main St,County B,City C,District C,Main St,Property 151,"151 Main St, City A, CA",38.729031641571076,-121.57417444183926
Broker A,Condo,317285,5,2,3472,152 Main St,WA,152 Main St,County B,City B,District A,Pine Blvd,Property 152,"152 Main St, City A, CA",37.99815540106936,-121.89396800169035
Broker C,Single Family,438404,1,2,4013,153 Main St,WA,153 Main St,County A,City C,District B,Oak Ave,Property 153,"153 Main St, City A, CA",38.697207775483584,-121.7278944541864
Broker C,Townhouse,259476,1,1,2948,154 Main St,CA,154 Main St,County A,City C,District A,Main St,Property 154,"154 Main St, City A, CA",38.200793155036685,-121.5360502989779
Broker A,Townhouse,858842,2,4,3971,155 Main St,WA,155 Main St,County C,City A,District C,Pine Blvd,Property 155,"155 Main St, City A, CA",38.76042413325522,-121.92368298992172
Broker C,Single Family,260928,5,4,3274,156 Main St,CA,156 Main St,County B,City B,District C,Main St,Property 156,"156 Main St, City A, CA",38.32895838346021,-122.10614925951117
Broker C,Townhouse,764560,4,1,1490,157 Main St,WA,157 Main St,County C,City C,District C,Oak Ave,Property 157,"157 Main St, City A, CA",38.70573286417581,-121.66573386209042
Broker A,Single Family,950610,2,3,3446,158 Main St,CA,158 Main St,County C,City A,District C,Main St,Property 158,"158 Main St, City A, CA",37.780248988694225,-122.1993337452153
Broker A,Single Family,396141,1,4,2312,159 Main St,FL,159 Main St,County A,City C,District C,Pine Blvd,Property 159,"159 Main St, City A, CA",38.5231388061809,-122.03086885199396
Broker C,Single Family,743561,1,1,1303,160 Main St,FL,160 Main St,County C,City B,District C,Oak Ave,Property 160,"160 Main St, City A, CA",38.67795065310252,-121.5536727628932
Broker C,Townhouse,796595,1,1,989,161 Main St,TX,161 Main St,County B,City C,District B,Oak Ave,Property 161,"161 Main St, City A, CA",37.914620566978954,-121.69497765973068
